"Input","Match.type","Approved.symbol","Approved.name","HGNC.ID","Location"
"6076","GABRG1","Approved symbol","GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1","HGNC:4086","4p12"
"6077","GABRG2","Approved symbol","GABRG2","gamma-aminobutyric acid type A receptor subunit gamma2","HGNC:4087","5q34"
"6078","GABRG3","Approved symbol","GABRG3","gamma-aminobutyric acid type A receptor subunit gamma3","HGNC:4088","15q12"
"6079","GABRG3-AS1","Approved symbol","GABRG3-AS1","GABRG3 antisense RNA 1","HGNC:40249","15q12"
"6080","GABRP","Approved symbol","GABRP","gamma-aminobutyric acid type A receptor subunit pi","HGNC:4089","5q35.1"
"6081","GABRQ","Approved symbol","GABRQ","gamma-aminobutyric acid type A receptor subunit theta","HGNC:14454","Xq28"
"6082","GABRR1","Approved symbol","GABRR1","gamma-aminobutyric acid type A receptor subunit rho1","HGNC:4090","6q15"
"6083","GABRR2","Approved symbol","GABRR2","gamma-aminobutyric acid type A receptor subunit rho2","HGNC:4091","6q15"
"6084","GABRR3","Approved symbol","GABRR3","gamma-aminobutyric acid type A receptor subunit rho3 (gene/pseudogene)","HGNC:17969","3q11.2"
"6085","GAD1","Approved symbol","GAD1","glutamate decarboxylase 1","HGNC:4092","2q31.1"
"6086","GAD2","Approved symbol","GAD2","glutamate decarboxylase 2","HGNC:4093","10p12.1"
"6087","GADD45A","Approved symbol","GADD45A","growth arrest and DNA damage inducible alpha","HGNC:4095","1p31.3"
"6088","GADD45B","Approved symbol","GADD45B","growth arrest and DNA damage inducible beta","HGNC:4096","19p13.3"
"6089","GADD45G","Approved symbol","GADD45G","growth arrest and DNA damage inducible gamma","HGNC:4097","9q22.2"
"6090","GADD45GIP1","Approved symbol","GADD45GIP1","GADD45G interacting protein 1","HGNC:29996","19p13.13"
"6091","GAGE1","Approved symbol","GAGE1","G antigen 1","HGNC:4098","Xp11.23"
"6092","GAK","Approved symbol","GAK","cyclin G associated kinase","HGNC:4113","4p16.3"
"6093","GAL","Approved symbol","GAL","galanin and GMAP prepropeptide","HGNC:4114","11q13.2"
"6094","GAL3ST1","Approved symbol","GAL3ST1","galactose-3-O-sulfotransferase 1","HGNC:24240","22q12.2"
"6097","GAL3ST3","Approved symbol","GAL3ST3","galactose-3-O-sulfotransferase 3","HGNC:24144","11q13.1"
"6098","GAL3ST4","Approved symbol","GAL3ST4","galactose-3-O-sulfotransferase 4","HGNC:24145","7q22.1"
"6099","GALC","Approved symbol","GALC","galactosylceramidase","HGNC:4115","14q31.3"
"6100","GALE","Approved symbol","GALE","UDP-galactose-4-epimerase","HGNC:4116","1p36.11"
"6101","GALK1","Approved symbol","GALK1","galactokinase 1","HGNC:4118","17q25.1"
"6102","GALK2","Approved symbol","GALK2","galactokinase 2","HGNC:4119","15q21.1-q21.2"
"6103","GALM","Approved symbol","GALM","galactose mutarotase","HGNC:24063","2p22.1"
"6104","GALNS","Approved symbol","GALNS","galactosamine (N-acetyl)-6-sulfatase","HGNC:4122","16q24.3"
"6105","GALNT1","Approved symbol","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1","HGNC:4123","18q12.2"
"6106","GALNT10","Approved symbol","GALNT10","polypeptide N-acetylgalactosaminyltransferase 10","HGNC:19873","5q33.2"
"6107","GALNT11","Approved symbol","GALNT11","polypeptide N-acetylgalactosaminyltransferase 11","HGNC:19875","7q36.1"
"6108","GALNT12","Approved symbol","GALNT12","polypeptide N-acetylgalactosaminyltransferase 12","HGNC:19877","9q22.33"
"6109","GALNT13","Approved symbol","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13","HGNC:23242","2q23.3-q24.1"
"6110","GALNT14","Approved symbol","GALNT14","polypeptide N-acetylgalactosaminyltransferase 14","HGNC:22946","2p23.1"
"6114","GALNT16","Approved symbol","GALNT16","polypeptide N-acetylgalactosaminyltransferase 16","HGNC:23233","14q24.1"
"6117","GALNT18","Approved symbol","GALNT18","polypeptide N-acetylgalactosaminyltransferase 18","HGNC:30488","11p15.4"
"6118","GALNT2","Approved symbol","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2","HGNC:4124","1q42.13"
"6119","GALNT3","Approved symbol","GALNT3","polypeptide N-acetylgalactosaminyltransferase 3","HGNC:4125","2q24.3"
"6120","GALNT5","Approved symbol","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5","HGNC:4127","2q24.1"
"6121","GALNT6","Approved symbol","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","HGNC:4128","12q13.13"
"6124","GALNT8","Approved symbol","GALNT8","polypeptide N-acetylgalactosaminyltransferase 8","HGNC:4130","12p13.32"
"6125","GALNT9","Approved symbol","GALNT9","polypeptide N-acetylgalactosaminyltransferase 9","HGNC:4131","12q24.33"
"6126","GALNTL5","Approved symbol","GALNTL5","polypeptide N-acetylgalactosaminyltransferase like 5","HGNC:21725","7q36.1"
"6127","GALP","Approved symbol","GALP","galanin like peptide","HGNC:24840","19q13.43"
"6128","GALR1","Approved symbol","GALR1","galanin receptor 1","HGNC:4132","18q23"
"6129","GALR2","Approved symbol","GALR2","galanin receptor 2","HGNC:4133","17q25.1"
"6130","GALR3","Approved symbol","GALR3","galanin receptor 3","HGNC:4134","22q13.1"
"6131","GALT","Approved symbol","GALT","galactose-1-phosphate uridylyltransferase","HGNC:4135","9p13.3"
"6132","GAMT","Approved symbol","GAMT","guanidinoacetate N-methyltransferase","HGNC:4136","19p13.3"
"6133","GAN","Approved symbol","GAN","gigaxonin","HGNC:4137","16q23.2"
"6134","GANAB","Approved symbol","GANAB","glucosidase II alpha subunit","HGNC:4138","11q12.3"
"6135","GANC","Approved symbol","GANC","glucosidase alpha, neutral C","HGNC:4139","15q15.1"
"6136","GAP43","Approved symbol","GAP43","growth associated protein 43","HGNC:4140","3q13.31"
"6137","GAPDH","Approved symbol","GAPDH","glyceraldehyde-3-phosphate dehydrogenase","HGNC:4141","12p13.31"
"6138","GAPDHS","Approved symbol","GAPDHS","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","HGNC:24864","19q13.12"
"6139","GAPLINC","Approved symbol","GAPLINC","gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA","HGNC:51308","18p11.31"
"6140","GAPT","Approved symbol","GAPT","GRB2 binding adaptor protein, transmembrane","HGNC:26588","5q11.2"
"6141","GAPVD1","Approved symbol","GAPVD1","GTPase activating protein and VPS9 domains 1","HGNC:23375","9q33.3"
"6144","GAREM1","Approved symbol","GAREM1","GRB2 associated regulator of MAPK1 subtype 1","HGNC:26136","18q12.1"
"6145","GAREM2","Approved symbol","GAREM2","GRB2 associated regulator of MAPK1 subtype 2","HGNC:27172","2p23.3"
"6146","GARNL3","Approved symbol","GARNL3","GTPase activating Rap/RanGAP domain like 3","HGNC:25425","9q33.3"
"6147","GARS","Previous symbol","GARS1","glycyl-tRNA synthetase 1","HGNC:4162","7p14.3"
"6148","GART","Approved symbol","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","HGNC:4163","21q22.11"
"6149","GAS1","Approved symbol","GAS1","growth arrest specific 1","HGNC:4165","9q21.33"
"6150","GAS1RR","Approved symbol","GAS1RR","GAS1 adjacent regulatory RNA","HGNC:52261","9q21.33"
"6151","GAS2","Approved symbol","GAS2","growth arrest specific 2","HGNC:4167","11p14.3"
"6152","GAS2L1","Approved symbol","GAS2L1","growth arrest specific 2 like 1","HGNC:16955","22q12.2"
"6153","GAS2L2","Approved symbol","GAS2L2","growth arrest specific 2 like 2","HGNC:24846","17q12"
"6154","GAS2L3","Approved symbol","GAS2L3","growth arrest specific 2 like 3","HGNC:27475","12q23.1"
"6155","GAS5-AS1","Approved symbol","GAS5-AS1","GAS5 antisense RNA 1","HGNC:44119","1q25.1"
"6156","GAS6","Approved symbol","GAS6","growth arrest specific 6","HGNC:4168","13q34"
"6157","GAS6-AS1","Approved symbol","GAS6-AS1","GAS6 antisense RNA 1","HGNC:39826","13q34"
"6158","GAS7","Approved symbol","GAS7","growth arrest specific 7","HGNC:4169","17p13.1"
"6159","GAS8","Approved symbol","GAS8","growth arrest specific 8","HGNC:4166","16q24.3"
"6160","GAS8-AS1","Approved symbol","GAS8-AS1","GAS8 antisense RNA 1","HGNC:1197","16q24.3"
"6161","GAST","Approved symbol","GAST","gastrin","HGNC:4164","17q21.2"
"6162","GATA1","Approved symbol","GATA1","GATA binding protein 1","HGNC:4170","Xp11.23"
"6163","GATA2","Approved symbol","GATA2","GATA binding protein 2","HGNC:4171","3q21.3"
"6164","GATA3","Approved symbol","GATA3","GATA binding protein 3","HGNC:4172","10p14"
"6165","GATA3-AS1","Approved symbol","GATA3-AS1","GATA3 antisense RNA 1","HGNC:33786","10p14"
"6166","GATA4","Approved symbol","GATA4","GATA binding protein 4","HGNC:4173","8p23.1"
"6167","GATA5","Approved symbol","GATA5","GATA binding protein 5","HGNC:15802","20q13.33"
"6168","GATA6","Approved symbol","GATA6","GATA binding protein 6","HGNC:4174","18q11.2"
"6169","GATA6-AS1","Approved symbol","GATA6-AS1","GATA6 antisense RNA 1 (head to head)","HGNC:48840","18q11.2"
"6170","GATAD1","Approved symbol","GATAD1","GATA zinc finger domain containing 1","HGNC:29941","7q21.2"
"6171","GATAD2A","Approved symbol","GATAD2A","GATA zinc finger domain containing 2A","HGNC:29989","19p13.11"
"6172","GATAD2B","Approved symbol","GATAD2B","GATA zinc finger domain containing 2B","HGNC:30778","1q21.3"
"6173","GATB","Approved symbol","GATB","glutamyl-tRNA amidotransferase subunit B","HGNC:8849","4q31.3"
"6176","GATD1","Approved symbol","GATD1","glutamine amidotransferase like class 1 domain containing 1","HGNC:26616","11p15.5"
"6177","GATD3A","Approved symbol","GATD3A","glutamine amidotransferase like class 1 domain containing 3A","HGNC:1273","21q22.3"
"6178","GATM","Approved symbol","GATM","glycine amidinotransferase","HGNC:4175","15q21.1"
"6179","GBA2","Approved symbol","GBA2","glucosylceramidase beta 2","HGNC:18986","9p13.3"
"6180","GBA3","Approved symbol","GBA3","glucosylceramidase beta 3 (gene/pseudogene)","HGNC:19069","4p15.2"
"6181","GBAT2","Unmatched",NA,NA,NA,NA
"6182","GBE1","Approved symbol","GBE1","1,4-alpha-glucan branching enzyme 1","HGNC:4180","3p12.2"
"6183","GBF1","Approved symbol","GBF1","golgi brefeldin A resistant guanine nucleotide exchange factor 1","HGNC:4181","10q24.32"
"6184","GBGT1","Approved symbol","GBGT1","globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)","HGNC:20460","9q34.2"
"6185","GBP1","Approved symbol","GBP1","guanylate binding protein 1","HGNC:4182","1p22.2"
"6186","GBP1P1","Approved symbol","GBP1P1","guanylate binding protein 1 pseudogene 1","HGNC:39561","1p22.2"
"6187","GBP2","Approved symbol","GBP2","guanylate binding protein 2","HGNC:4183","1p22.2"
"6188","GBP3","Approved symbol","GBP3","guanylate binding protein 3","HGNC:4184","1p22.2"
"6189","GBP4","Approved symbol","GBP4","guanylate binding protein 4","HGNC:20480","1p22.2"
"6190","GBP5","Approved symbol","GBP5","guanylate binding protein 5","HGNC:19895","1p22.2"
"6191","GBP6","Approved symbol","GBP6","guanylate binding protein family member 6","HGNC:25395","1p22.2"
"6192","GBX2","Approved symbol","GBX2","gastrulation brain homeobox 2","HGNC:4186","2q37.2"
"6193","GC","Approved symbol","GC","GC vitamin D binding protein","HGNC:4187","4q13.3"
"6194","GCA","Approved symbol","GCA","grancalcin","HGNC:15990","2q24.2"
"6195","GCAT","Approved symbol","GCAT","glycine C-acetyltransferase","HGNC:4188","22q13.1"
"6196","GCC1","Approved symbol","GCC1","GRIP and coiled-coil domain containing 1","HGNC:19095","7q32.1"
"6197","GCC2","Approved symbol","GCC2","GRIP and coiled-coil domain containing 2","HGNC:23218","2q12.3"
"6198","GCC2-AS1","Approved symbol","GCC2-AS1","GCC2 antisense RNA 1","HGNC:28126","2q12.3"
"6199","GCDH","Approved symbol","GCDH","glutaryl-CoA dehydrogenase","HGNC:4189","19p13.13"
"6200","GCFC2","Approved symbol","GCFC2","GC-rich sequence DNA-binding factor 2","HGNC:1317","2p12"
"6201","GCG","Approved symbol","GCG","glucagon","HGNC:4191","2q24.2"
"6202","GCGR","Approved symbol","GCGR","glucagon receptor","HGNC:4192","17q25.3"
"6203","GCH1","Approved symbol","GCH1","GTP cyclohydrolase 1","HGNC:4193","14q22.2"
"6204","GCHFR","Approved symbol","GCHFR","GTP cyclohydrolase I feedback regulator","HGNC:4194","15q15.1"
"6209","GCLC","Approved symbol","GCLC","glutamate-cysteine ligase catalytic subunit","HGNC:4311","6p12.1"
"6210","GCLM","Approved symbol","GCLM","glutamate-cysteine ligase modifier subunit","HGNC:4312","1p22.1"
"6211","GCM1","Approved symbol","GCM1","glial cells missing transcription factor 1","HGNC:4197","6p12.1"
"6212","GCM2","Approved symbol","GCM2","glial cells missing transcription factor 2","HGNC:4198","6p24.2"
"6213","GCN1","Approved symbol","GCN1","GCN1 activator of EIF2AK4","HGNC:4199","12q24.23"
"6214","GCNA","Approved symbol","GCNA","germ cell nuclear acidic peptidase","HGNC:15805","Xq13.1"
"6215","GCNT1","Approved symbol","GCNT1","glucosaminyl (N-acetyl) transferase 1","HGNC:4203","9q21.13"
"6216","GCNT2","Approved symbol","GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group)","HGNC:4204","6p24.3-p24.2"
"6217","GCNT3","Approved symbol","GCNT3","glucosaminyl (N-acetyl) transferase 3, mucin type","HGNC:4205","15q22.2"
"6218","GCNT4","Approved symbol","GCNT4","glucosaminyl (N-acetyl) transferase 4","HGNC:17973","5q13.3"
"6219","GCNT7","Approved symbol","GCNT7","glucosaminyl (N-acetyl) transferase family member 7","HGNC:16099","20q13.31"
"6220","GCSAM","Approved symbol","GCSAM","germinal center associated signaling and motility","HGNC:20253","3q13.2"
"6221","GCSAML","Approved symbol","GCSAML","germinal center associated signaling and motility like","HGNC:29583","1q44"
"6222","GCSAML-AS1","Approved symbol","GCSAML-AS1","GCSAML antisense RNA 1","HGNC:41244","1q44"
"6226","GDAP1","Approved symbol","GDAP1","ganglioside induced differentiation associated protein 1","HGNC:15968","8q21.11"
"6227","GDAP1L1","Approved symbol","GDAP1L1","ganglioside induced differentiation associated protein 1 like 1","HGNC:4213","20q13.12"
"6228","GDAP2","Approved symbol","GDAP2","ganglioside induced differentiation associated protein 2","HGNC:18010","1p12"
"6229","GDE1","Approved symbol","GDE1","glycerophosphodiester phosphodiesterase 1","HGNC:29644","16p12.3"
"6230","GDF10","Approved symbol","GDF10","growth differentiation factor 10","HGNC:4215","10q11.22"
"6231","GDF11","Approved symbol","GDF11","growth differentiation factor 11","HGNC:4216","12q13.2"
"6232","GDF15","Approved symbol","GDF15","growth differentiation factor 15","HGNC:30142","19p13.11"
"6233","GDF2","Approved symbol","GDF2","growth differentiation factor 2","HGNC:4217","10q11.22"
"6234","GDF3","Approved symbol","GDF3","growth differentiation factor 3","HGNC:4218","12p13.31"
"6235","GDF5","Approved symbol","GDF5","growth differentiation factor 5","HGNC:4220","20q11.22"
"6236","GDF9","Approved symbol","GDF9","growth differentiation factor 9","HGNC:4224","5q31.1"
"6237","GDI1","Approved symbol","GDI1","GDP dissociation inhibitor 1","HGNC:4226","Xq28"
"6238","GDI2","Approved symbol","GDI2","GDP dissociation inhibitor 2","HGNC:4227","10p15.1"
"6239","GDNF","Approved symbol","GDNF","glial cell derived neurotrophic factor","HGNC:4232","5p13.2"
"6240","GDPD1","Approved symbol","GDPD1","glycerophosphodiester phosphodiesterase domain containing 1","HGNC:20883","17q22"
"6241","GDPD2","Approved symbol","GDPD2","glycerophosphodiester phosphodiesterase domain containing 2","HGNC:25974","Xq13.1"
"6242","GDPD3","Approved symbol","GDPD3","glycerophosphodiester phosphodiesterase domain containing 3","HGNC:28638","16p11.2"
"6243","GDPD5","Approved symbol","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5","HGNC:28804","11q13.4-q13.5"
"6246","GEMIN2","Approved symbol","GEMIN2","gem nuclear organelle associated protein 2","HGNC:10884","14q21.1"
"6247","GEMIN4","Approved symbol","GEMIN4","gem nuclear organelle associated protein 4","HGNC:15717","17p13.3"
"6248","GEMIN5","Approved symbol","GEMIN5","gem nuclear organelle associated protein 5","HGNC:20043","5q33.2"
"6249","GEMIN6","Approved symbol","GEMIN6","gem nuclear organelle associated protein 6","HGNC:20044","2p22.1"
"6250","GEMIN7","Approved symbol","GEMIN7","gem nuclear organelle associated protein 7","HGNC:20045","19q13.32"
"6251","GEMIN8","Approved symbol","GEMIN8","gem nuclear organelle associated protein 8","HGNC:26044","Xp22.2"
"6252","GEN1","Approved symbol","GEN1","GEN1 Holliday junction 5' flap endonuclease","HGNC:26881","2p24.2"
"6253","GET4","Approved symbol","GET4","guided entry of tail-anchored proteins factor 4","HGNC:21690","7p22.3"
"6254","GFAP","Approved symbol","GFAP","glial fibrillary acidic protein","HGNC:4235","17q21.31"
"6255","GFER","Approved symbol","GFER","growth factor, augmenter of liver regeneration","HGNC:4236","16p13.3"
"6256","GFI1","Approved symbol","GFI1","growth factor independent 1 transcriptional repressor","HGNC:4237","1p22.1"
"6257","GFI1B","Approved symbol","GFI1B","growth factor independent 1B transcriptional repressor","HGNC:4238","9q34.13"
"6258","GFM1","Approved symbol","GFM1","G elongation factor mitochondrial 1","HGNC:13780","3q25.32"
"6259","GFM2","Approved symbol","GFM2","GTP dependent ribosome recycling factor mitochondrial 2","HGNC:29682","5q13.3"
"6260","GFOD1","Approved symbol","GFOD1","glucose-fructose oxidoreductase domain containing 1","HGNC:21096","6p24.1-p23"
"6261","GFOD2","Approved symbol","GFOD2","glucose-fructose oxidoreductase domain containing 2","HGNC:28159","16q22.1"
"6262","GFPT1","Approved symbol","GFPT1","glutamine--fructose-6-phosphate transaminase 1","HGNC:4241","2p13.3"
"6263","GFPT2","Approved symbol","GFPT2","glutamine-fructose-6-phosphate transaminase 2","HGNC:4242","5q35.3"
"6264","GFRA1","Approved symbol","GFRA1","GDNF family receptor alpha 1","HGNC:4243","10q25.3"
"6265","GFRA2","Approved symbol","GFRA2","GDNF family receptor alpha 2","HGNC:4244","8p21.3"
"6266","GFRA3","Approved symbol","GFRA3","GDNF family receptor alpha 3","HGNC:4245","5q31.2"
"6267","GFRA4","Approved symbol","GFRA4","GDNF family receptor alpha 4","HGNC:13821","20p13"
"6268","GGA1","Approved symbol","GGA1","golgi associated, gamma adaptin ear containing, ARF binding protein 1","HGNC:17842","22q13.1"
"6269","GGA2","Approved symbol","GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2","HGNC:16064","16p12.2"
"6270","GGA3","Approved symbol","GGA3","golgi associated, gamma adaptin ear containing, ARF binding protein 3","HGNC:17079","17q25.1"
"6271","GGACT","Approved symbol","GGACT","gamma-glutamylamine cyclotransferase","HGNC:25100","13q32.3"
"6272","GGCT","Approved symbol","GGCT","gamma-glutamylcyclotransferase","HGNC:21705","7p14.3"
"6273","GGCX","Approved symbol","GGCX","gamma-glutamyl carboxylase","HGNC:4247","2p11.2"
"6274","GGH","Approved symbol","GGH","gamma-glutamyl hydrolase","HGNC:4248","8q12.3"
"6275","GGN","Approved symbol","GGN","gametogenetin","HGNC:18869","19q13.2"
"6276","GGNBP2","Approved symbol","GGNBP2","gametogenetin binding protein 2","HGNC:19357","17q12"
"6277","GGPS1","Approved symbol","GGPS1","geranylgeranyl diphosphate synthase 1","HGNC:4249","1q42.3"
"6278","GGT5","Approved symbol","GGT5","gamma-glutamyltransferase 5","HGNC:4260","22q11.23"
"6279","GGT6","Approved symbol","GGT6","gamma-glutamyltransferase 6","HGNC:26891","17p13.2"
"6280","GGT7","Approved symbol","GGT7","gamma-glutamyltransferase 7","HGNC:4259","20q11.22"
"6281","GGTA1P","Approved symbol","GGTA1P","glycoprotein alpha-galactosyltransferase 1, pseudogene","HGNC:4253","9q33.2"
"6282","GGTA1P","Previous symbol","GGTA2P","glycoprotein alpha-galactosyltransferase 2, pseudogene","HGNC:4254","12q14.3"
"6283","GGTLC1","Approved symbol","GGTLC1","gamma-glutamyltransferase light chain 1","HGNC:16437","20p11.21"
"6284","GH1","Approved symbol","GH1","growth hormone 1","HGNC:4261","17q23.3"
"6285","GH2","Approved symbol","GH2","growth hormone 2","HGNC:4262","17q23.3"
"6286","GHDC","Approved symbol","GHDC","GH3 domain containing","HGNC:24438","17q21.2"
"6287","GHITM","Approved symbol","GHITM","growth hormone inducible transmembrane protein","HGNC:17281","10q23.1"
"6288","GHR","Approved symbol","GHR","growth hormone receptor","HGNC:4263","5p13.1-p12"
"6289","GHRH","Approved symbol","GHRH","growth hormone releasing hormone","HGNC:4265","20q11.23"
"6290","GHRHR","Approved symbol","GHRHR","growth hormone releasing hormone receptor","HGNC:4266","7p14.3"
"6291","GHRL","Approved symbol","GHRL","ghrelin and obestatin prepropeptide","HGNC:18129","3p25.3"
"6292","GHRLOS","Approved symbol","GHRLOS","ghrelin opposite strand/antisense RNA","HGNC:33885","3p25.3"
"6293","GHSR","Approved symbol","GHSR","growth hormone secretagogue receptor","HGNC:4267","3q26.31"
"6294","GID4","Approved symbol","GID4","GID complex subunit 4 homolog","HGNC:28453","17p11.2"
"6295","GID8","Approved symbol","GID8","GID complex subunit 8 homolog","HGNC:15857","20q13.33"
"6299","GIGYF1","Approved symbol","GIGYF1","GRB10 interacting GYF protein 1","HGNC:9126","7q22.1"
"6300","GIGYF2","Approved symbol","GIGYF2","GRB10 interacting GYF protein 2","HGNC:11960","2q37.1"
"6301","GIMAP1","Approved symbol","GIMAP1","GTPase, IMAP family member 1","HGNC:23237","7q36.1"
"6302","GIMAP2","Approved symbol","GIMAP2","GTPase, IMAP family member 2","HGNC:21789","7q36.1"
"6303","GIMAP4","Approved symbol","GIMAP4","GTPase, IMAP family member 4","HGNC:21872","7q36.1"
"6304","GIMAP6","Approved symbol","GIMAP6","GTPase, IMAP family member 6","HGNC:21918","7q36.1"
"6305","GIMAP7","Approved symbol","GIMAP7","GTPase, IMAP family member 7","HGNC:22404","7q36.1"
"6306","GIMAP8","Approved symbol","GIMAP8","GTPase, IMAP family member 8","HGNC:21792","7q36.1"
"6307","GIN1","Approved symbol","GIN1","gypsy retrotransposon integrase 1","HGNC:25959","5q21.1"
"6308","GINM1","Approved symbol","GINM1","glycoprotein integral membrane 1","HGNC:21074","6q25.1"
"6309","GINS1","Approved symbol","GINS1","GINS complex subunit 1","HGNC:28980","20p11.21"
"6310","GINS2","Approved symbol","GINS2","GINS complex subunit 2","HGNC:24575","16q24.1"
"6311","GINS3","Approved symbol","GINS3","GINS complex subunit 3","HGNC:25851","16q21"
"6312","GINS4","Approved symbol","GINS4","GINS complex subunit 4","HGNC:28226","8p11.21"
"6316","GIPC1","Approved symbol","GIPC1","GIPC PDZ domain containing family member 1","HGNC:1226","19p13.12"
"6317","GIPC2","Approved symbol","GIPC2","GIPC PDZ domain containing family member 2","HGNC:18177","1p31.1"
"6318","GIPC3","Approved symbol","GIPC3","GIPC PDZ domain containing family member 3","HGNC:18183","19p13.3"
"6319","GIPR","Approved symbol","GIPR","gastric inhibitory polypeptide receptor","HGNC:4271","19q13.32"
"6320","GIT1","Approved symbol","GIT1","GIT ArfGAP 1","HGNC:4272","17q11.2"
"6321","GIT2","Approved symbol","GIT2","GIT ArfGAP 2","HGNC:4273","12q24.11"
"6322","GJA1","Approved symbol","GJA1","gap junction protein alpha 1","HGNC:4274","6q22.31"
"6323","GJA10","Approved symbol","GJA10","gap junction protein alpha 10","HGNC:16995","6q15"
"6324","GJA10","Previous symbol","GJA9","gap junction protein alpha 9","HGNC:19155","1p34.3"
"6325","GJA3","Approved symbol","GJA3","gap junction protein alpha 3","HGNC:4277","13q12.11"
"6326","GJA4","Approved symbol","GJA4","gap junction protein alpha 4","HGNC:4278","1p34.3"
"6327","GJA5","Approved symbol","GJA5","gap junction protein alpha 5","HGNC:4279","1q21.2"
"6328","GJA8","Approved symbol","GJA8","gap junction protein alpha 8","HGNC:4281","1q21.2"
"6329","GJB1","Approved symbol","GJB1","gap junction protein beta 1","HGNC:4283","Xq13.1"
"6330","GJB2","Approved symbol","GJB2","gap junction protein beta 2","HGNC:4284","13q12.11"
"6331","GJB3","Approved symbol","GJB3","gap junction protein beta 3","HGNC:4285","1p34.3"
"6332","GJB4","Approved symbol","GJB4","gap junction protein beta 4","HGNC:4286","1p34.3"
"6333","GJB5","Approved symbol","GJB5","gap junction protein beta 5","HGNC:4287","1p34.3"
"6334","GJB6","Approved symbol","GJB6","gap junction protein beta 6","HGNC:4288","13q12.11"
"6335","GJC1","Approved symbol","GJC1","gap junction protein gamma 1","HGNC:4280","17q21.31"
"6336","GJC1","Previous symbol","GJD3","gap junction protein delta 3","HGNC:19147","17q21.2"
"6337","GJC2","Approved symbol","GJC2","gap junction protein gamma 2","HGNC:17494","1q42.13"
"6338","GJD2","Approved symbol","GJD2","gap junction protein delta 2","HGNC:19154","15q14"
"6339","GJD3","Approved symbol","GJD3","gap junction protein delta 3","HGNC:19147","17q21.2"
"6340","GJD4","Approved symbol","GJD4","gap junction protein delta 4","HGNC:23296","10p11.21"
"6341","GK","Approved symbol","GK","glycerol kinase","HGNC:4289","Xp21.2"
"6344","GK5","Approved symbol","GK5","glycerol kinase 5","HGNC:28635","3q23"
"6345","GKAP1","Approved symbol","GKAP1","G kinase anchoring protein 1","HGNC:17496","9q21.32"
"6346","GKN1","Approved symbol","GKN1","gastrokine 1","HGNC:23217","2p13.3"
"6347","GKN2","Approved symbol","GKN2","gastrokine 2","HGNC:24588","2p13.3"
"6350","GLB1L","Approved symbol","GLB1L","galactosidase beta 1 like","HGNC:28129","2q35"
"6351","GLB1L2","Approved symbol","GLB1L2","galactosidase beta 1 like 2","HGNC:25129","11q25"
"6352","GLB1L3","Approved symbol","GLB1L3","galactosidase beta 1 like 3","HGNC:25147","11q25"
"6353","GLCCI1","Approved symbol","GLCCI1","glucocorticoid induced 1","HGNC:18713","7p21.3"
"6354","GLCE","Approved symbol","GLCE","glucuronic acid epimerase","HGNC:17855","15q23"
"6355","GLDC","Approved symbol","GLDC","glycine decarboxylase","HGNC:4313","9p24.1"
"6356","GLDN","Approved symbol","GLDN","gliomedin","HGNC:29514","15q21.2"
"6357","GLE1","Approved symbol","GLE1","GLE1 RNA export mediator","HGNC:4315","9q34.11"
"6358","GLG1","Approved symbol","GLG1","golgi glycoprotein 1","HGNC:4316","16q23.1"
"6359","GLI1","Approved symbol","GLI1","GLI family zinc finger 1","HGNC:4317","12q13.3"
"6360","GLI2","Approved symbol","GLI2","GLI family zinc finger 2","HGNC:4318","2q14.2"
"6361","GLI3","Approved symbol","GLI3","GLI family zinc finger 3","HGNC:4319","7p14.1"
"6362","GLI4","Approved symbol","GLI4","GLI family zinc finger 4","HGNC:4320","8q24.3"
"6363","GLIPR1","Approved symbol","GLIPR1","GLI pathogenesis related 1","HGNC:17001","12q21.2"
"6364","GLIPR1L1","Approved symbol","GLIPR1L1","GLIPR1 like 1","HGNC:28392","12q21.2"
"6365","GLIPR2","Approved symbol","GLIPR2","GLI pathogenesis related 2","HGNC:18007","9p13.3"
"6366","GLIS1","Approved symbol","GLIS1","GLIS family zinc finger 1","HGNC:29525","1p32.3"
"6367","GLIS2","Approved symbol","GLIS2","GLIS family zinc finger 2","HGNC:29450","16p13.3"
"6368","GLIS3","Approved symbol","GLIS3","GLIS family zinc finger 3","HGNC:28510","9p24.2"
"6369","GLIS3-AS1","Approved symbol","GLIS3-AS1","GLIS3 antisense RNA 1","HGNC:28260","9p24.2"
"6370","GLMN","Approved symbol","GLMN","glomulin, FKBP associated protein","HGNC:14373","1p22.1"
